mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008233118057250976,0.006484349257112941,0.06757736206054688,0.015850330017362347,auto,3,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6725738396624472,0.6866554054054054,0.6765202702702703,0.6773648648648649,0.6773648648648649,0.6780958490135706,0.004632703679851569,46
0.009031057357788086,0.005319285383731317,0.026585960388183595,0.021854052509551334,auto,3,1,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6767932489451477,0.6967905405405406,0.6807432432432432,0.6942567567567568,0.6849662162162162,0.6867100011403809,0.0076883776532885575,29
0.004744243621826172,0.0005586936669417182,0.05756072998046875,0.0012770871139965699,auto,3,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6590717299578059,0.6798986486486487,0.6697635135135135,0.6714527027027027,0.6630067567567568,0.6686386703158854,0.007200221672978574,59
0.0046313762664794925,0.0003907627881564413,0.009696245193481445,0.0003712485202030586,auto,3,2,distance,"{'algorithm': 'auto', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6649789029535865,0.6891891891891891,0.6790540540540541,0.6900337837837838,0.6773648648648649,0.6801241589690956,0.009148912996823666,37
0.004966831207275391,0.0007651297243392891,0.061313533782958986,0.004507739450543328,auto,5,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6894514767932489,0.7010135135135135,0.6858108108108109,0.6849662162162162,0.683277027027027,0.6889038088721634,0.00638242639623801,18
0.00474081039428711,0.000648549032348943,0.010880994796752929,0.00021612443123464415,auto,5,1,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6886075949367089,0.7153716216216216,0.6967905405405406,0.7018581081081081,0.6883445945945946,0.6981944919603148,0.009993758241274894,6
0.004591989517211914,0.0007177351479703796,0.05878305435180664,0.002913788577251389,auto,5,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6759493670886076,0.6925675675675675,0.6613175675675675,0.6722972972972973,0.6638513513513513,0.6731966301744783,0.011064049352115737,50
0.004225444793701172,0.00043154243340108887,0.011174440383911133,0.000505606900542316,auto,5,2,distance,"{'algorithm': 'auto', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6725738396624472,0.7086148648648649,0.6798986486486487,0.700168918918919,0.6756756756756757,0.6873863895541111,0.014329409887950076,23
0.004547882080078125,0.000530952841993589,0.05775055885314941,0.001169069145784869,auto,7,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.680168776371308,0.6925675675675675,0.6875,0.6638513513513513,0.6967905405405406,0.6841756471661535,0.011573618263696956,35
0.004385948181152344,0.00045209373302567053,0.012575387954711914,0.0009282749042080036,auto,7,1,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6928270042194092,0.7128378378378378,0.6908783783783784,0.6951013513513513,0.700168918918919,0.6983626981411791,0.007875118222942606,4
0.004440164566040039,0.0007933224594870032,0.06026887893676758,0.0015431574192905095,auto,7,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6641350210970464,0.6790540540540541,0.6739864864864865,0.6706081081081081,0.6765202702702703,0.672860788003193,0.005181295720670922,53
